id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,star_name,constellation
33956,34045.0,53244.0,2657.0,,23Gam CMa,Muliphein,7.062637,-15.633286,135.5014,-0.81,-11.2,32.0,4.11,-1.55,B8II,-0.112,-35.835279,125.471916,-36.514903,-7.6e-06,2.854e-05,-1.59e-05,1.8489940036388304,-0.2728523121174049,-3.9269908e-09,-5.4299132e-08,Gam,23.0,CMa,1,33956,,363.0780547701014,,,,Muliphein,Greater Dog
34000,34088.0,52973.0,2650.0,,43Zet Gem,Mekbuda,7.068481,20.570297,421.9409,-5.72,-0.96,7.0,4.01,-4.116,G3Ibv SB,0.899,-109.067807,379.683873,148.25163,9.2e-06,1.034e-05,6.8e-07,1.850524028350753,0.3590194112756538,-2.77313425e-08,-4.654211e-09,Zet,43.0,Gem,1,34000,,3858.335599053513,Zet,4.172,3.702,Mekbuda,Twins
34354,34444.0,54605.0,2693.0,,25Del CMa,Wezen,7.139857,-26.3932,492.6108,-2.75,3.33,34.0,1.83,-6.633,F8Ia,0.671,-129.733458,421.761488,-218.979855,-3.92e-06,3.508e-05,-8.33e-06,1.869210132341708,-0.4606482337374187,-1.33323762e-08,1.6144295e-08,Del,25.0,CMa,1,34354,,39192.2322454977,,,,Wezen,Greater Dog
34389,34481.0,55865.0,2736.0,,Gam2Vol,,7.145788,-70.498932,42.8633,23.71,108.06,3.0,3.78,0.62,G8IIIvar,1.006,-4.22812,13.669876,-40.404484,-1.126e-05,1.974e-05,4.6e-06,1.870763031806582,-1.2304384759654488,1.149493237e-07,5.23889663e-07,Gam-2,,Vol,1,34389,,49.20395356814509,,3.871,3.741,,Flying Fish
34601,34693.0,54719.0,2697.0,,46Tau Gem,,7.185659,30.245163,98.4252,-31.0,-48.4,22.0,4.41,-0.556,K2III,1.261,-25.971151,80.964075,49.576976,4.59e-06,3.41e-05,-8.62e-06,1.8812012049428917,0.5278776758140663,-1.50292241e-07,-2.34649821e-07,Tau,46.0,Gem,1,34601,,145.34496779183144,,,,,Twins
34677,34769.0,55185.0,2714.0,,22Del Mon,,7.197739,-0.492764,117.7856,-0.22,6.68,15.0,4.15,-1.205,A2V,-0.005,-36.330133,112.038272,-1.012987,-4.62e-06,1.466e-05,3.68e-06,1.8843636486673367,-0.0086003596264112,-1.0665901e-09,3.2385553e-08,Del,22.0,Mon,1,34677,,264.24087573219475,,,,,Unicorn
34943,35037.0,56139.0,2749.0,,28Ome CMa,,7.246849,-26.772667,279.3296,-11.5,7.67,26.0,4.01,-3.221,B2IV/Ve,-0.15,-79.967595,236.217084,-125.824594,5.64e-06,3.191e-05,-2.71e-06,1.8972205211562336,-0.4672711936294212,-5.57535733e-08,3.7185209e-08,Ome,28.0,CMa,1,34943,,1691.9986025030057,Ome,4.025,3.775,,Greater Dog
35132,35228.0,57623.0,2803.0,,Del Vol,,7.280508,-67.957152,226.2443,-4.11,8.5,23.0,3.97,-2.803,F6II,0.76,-27.934552,80.182853,-209.706812,-1.49e-06,1.798e-05,-1.83e-05,1.90603250664888,-1.1860760474198324,-1.99258423e-08,4.1209162e-08,Del,,Vol,1,35132,,1151.330474155817,,,,,Flying Fish
35169,35264.0,56855.0,2773.0,,Pi  Pup,,7.285711,-37.09747,247.5248,-10.57,7.0,16.0,2.71,-4.258,K3Ib,1.616,-65.206299,186.349551,-149.300305,5.99e-06,2.129e-05,-3.17e-06,1.9073945586079477,-0.6474729920516262,-5.1244806e-08,3.3936957e-08,Pi,,Pup,1,35169,,4397.440784473689,Pi,2.741,2.681,,Stern
35253,35350.0,56537.0,2763.0,GJ 9231A,54Lam Gem,,7.30155,16.540383,30.931,-46.09,-37.9,-9.2,3.58,1.128,A3V...,0.106,-9.909037,27.946222,8.805756,8.99e-06,-4.67e-06,-8.13e-06,1.911541309807028,0.28868414423664,-2.234506254e-07,-1.83744384e-07,Lam,54.0,Gem,1,35253,GJ 9231,30.81768416611512,,,,,Twins
35453,35550.0,56986.0,2777.0,Gl 271A,55Del Gem,Wasat,7.335383,21.98232,18.5391,-18.72,-7.76,-15.3,3.5,2.16,F0IV...,0.374,-5.888392,16.151258,6.939513,6.46e-06,-1.281e-05,-6.5e-06,1.9203987458751912,0.3836638698115162,-9.0757121e-08,-3.7621541e-08,Del,55.0,Gem,1,35453,Gl 271,11.912420080273744,,,,Wasat,Twins
35806,35904.0,58350.0,2827.0,,31Eta CMa,Aludra,7.401584,-29.303104,609.7561,-3.76,6.66,41.0,2.45,-6.476,B5Ia,-0.083,-190.762166,496.337122,-298.432917,-6.2e-06,4.711e-05,-3.36e-06,1.9377301884962992,-0.5114356374748288,-1.82289944e-08,3.2288591e-08,Eta,31.0,CMa,1,35806,,33915.6386905822,Eta,2.509,2.409,Aludra,Greater Dog
